,Title,Content,Label,Score,URL
0,Watch: CEO of new social media company competing with X describes users’ experiences - CNN,,"arts, culture, entertainment and media",0.12956666946411133,https://www.cnn.com/2024/11/20/business/video/bluesky-ceo-jay-graber-lcl-digvid
1,"As deadly bomb cyclone whirls into Seattle, another may be right behind - The Seattle Times","A cyclone reverberated into the Pacific Northwest on Tuesday evening, bringing blizzard-like conditions to the Cascades, making power lines flicker and go dark in the lowlands, and funneling highly e… [+5648 chars]","disaster, accident and emergency incident",0.9240521192550659,https://www.seattletimes.com/seattle-news/weather/as-bomb-cyclone-whirls-into-seattle-another-might-be-right-behind/
2,China's Xi visits Brasilia to cap tour flexing diplomatic clout - Reuters,,"arts, culture, entertainment and media",0.12956666946411133,https://www.reuters.com/world/china/chinas-xi-visits-brasilia-cap-tour-flexing-diplomatic-clout-2024-11-20/
3,Boise State rises and BYU falls in the latest CFP bracket projections - The Washington Post,"BYU tumbled, Georgia rallied, Boise State soared and the Big Ten ruled again as the 13-member College Football Playoff selection committee issued its third ranking of the season Tuesday night. The 12… [+233 chars]",sport,0.9980288147926331,https://www.washingtonpost.com/sports/2024/11/19/cfp-bracket-oregon-texas-miami-boise-state-byu/
4,Nuggets' Russell Westbrook becomes first player in NBA history to reach 200 triple-doubles - CBS Sports,"Russell Westbrook owns just about every meaningful record relating to triple-doubles in NBA history. In 2021, he broke Oscar Robertson's career record of 181. He was the first player since Robertson … [+2207 chars]",sport,0.9971910119056702,https://www.cbssports.com/nba/news/nuggets-russell-westbrook-becomes-first-player-in-nba-history-to-reach-200-triple-doubles/
5,North Korea Sent a Mystery Man to Lead Its Troops Fighting Ukraine - The Wall Street Journal,,"arts, culture, entertainment and media",0.12956666946411133,https://www.wsj.com/world/north-korea-sent-a-mystery-man-to-lead-its-troops-fighting-ukraine-b325e562
6,Biden agrees to give Ukraine anti-personnel mines - BBC.com,"US President Joe Biden has agreed to give Ukraine anti-personnel land mines, a US defence official told the BBC, a move seen as an attempt to slow Russian troops who have been steadily advancing in U… [+3396 chars]","conflict, war and peace",0.9757754802703857,https://www.bbc.com/news/articles/cx2d1lj3nwqo
7,Apple Releases Urgent Updates to Patch Actively Exploited Zero-Day Vulnerabilities - The Hacker News,"Apple has released security updates for iOS, iPadOS, macOS, visionOS, and its Safari web browser to address two zero-day flaws that have come under active exploitation in the wild.
The flaws are lis… [+2199 chars]",science and technology,0.9573578834533691,https://thehackernews.com/2024/11/apple-releases-urgent-updates-to-patch.html
8,Jay Cutler engaged to Samantha Robertson 2 years after Kristin Cavallari divorce: report - Page Six,"Jay Cutler is engaged to Samantha Robertson, People reports.
Multiple sources close to the couple told the outlet that the former Chicago Bears quarterback took the next step in his relationship wit… [+2964 chars]",human interest,0.9935908317565918,https://pagesix.com/2024/11/19/celebrity-news/jay-cutler-engaged-to-samantha-robertson-2-years-after-kristin-cavallari-divorce/
9,Trump selects financier Howard Lutnick as commerce secretary - BBC.com,"Donald Trump has named investor Howard Lutnick, the co-chair of his transition team, to lead the US commerce department.
In his announcement, Trump said Lutnick, the chief executive of financial fir… [+3089 chars]",politics,0.9969691634178162,https://www.bbc.com/news/articles/c9371zk1q6vo
10,Los Angeles officials move to establish city as a sanctuary for immigrants and LGBTQ youth in advance of Trump’s return to the White House - CNN,Los Angeles officials on Tuesday moved to cement the city and its schools as sanctuaries for immigrants and LGBTQ youth as the city positions itself to push back strongly against President-elect Dona… [+6777 chars],society,0.640149712562561,https://www.cnn.com/2024/11/19/us/los-angeles-sanctuary-city-lgbtq-students-votes/index.html
11,"Gaetz sent over $10K in Venmo payments to 2 women who testified in House probe, records suggest - ABC News",,"arts, culture, entertainment and media",0.12956666946411133,https://abcnews.go.com/US/gaetz-10k-venmo-payments-2-women-testified-house/story?id\\u003d116019367
12,Trump names Linda McMahon as his pick for Education secretary - CNN,"President-elect Donald Trump has named his transition co-chair Linda McMahon as his pick to serve as the next secretary of the Department of Education.
The decision, which Trump announced Tuesday ni… [+2198 chars]",politics,0.9974715709686279,https://www.cnn.com/2024/11/19/politics/linda-mcmahon-education-secretary-trump/index.html
13,Todd McShay torches Woody Johnson with Jets in disarray after Joe Douglas firing - New York Post ,"Todd McShay tore into Jets owner Woody Johnson on Tuesday after Gang Green axed general manager Joe Douglas. 
The host of The McShay Show labeled Johnson as being among the worst owners in the Natio… [+1724 chars]",sport,0.5262181758880615,https://nypost.com/2024/11/19/sports/todd-mcshay-torches-woody-johnson-with-jets-in-disarray/
14,Donald and Elon can’t get enough of each other. - POLITICO,"Trump brought an entourage of aides and lawmakers, including Sen. Bill Hagerty (R-Tenn.), a top contender for Treasury secretary, to the launch. The president-elect was warmly greeted with a hug from… [+6529 chars]",politics,0.9894803762435913,https://www.politico.com/news/2024/11/19/trump-musk-friendship-influence-00190517
15,More than two dozen killed after attempted attack on Haiti suburb - Reuters.com,,"arts, culture, entertainment and media",0.12956666946411133,https://www.reuters.com/world/americas/more-than-two-dozen-killed-after-attempted-attack-haiti-suburb-2024-11-19/
16,'Mind-blowing' dark energy instrument results show Einstein was right about gravity — again - Space.com,,"arts, culture, entertainment and media",0.12956666946411133,https://www.space.com/desi-einstein-gravity-dark-energy
17,"PlayStation Portal update adds cloud gaming support in beta, no PS5 required - Eurogamer","It's update time for the PlayStation Portal, and Sony's latest release offers something markedly more exciting than usual: cloud streaming is coming to the handheld device if you're a PlayStation Plu… [+2550 chars]","arts, culture, entertainment and media",0.9753775596618652,https://www.eurogamer.net/playstation-portal-update-adds-cloud-gaming-support-in-beta-no-ps5-required
